text,label
"Government announces new budget for public schools next year",real
"Central bank keeps interest rates unchanged after monthly meeting",real
"City council approves plan to expand public transport network",real
"University researchers publish study on climate change effects in peer-reviewed journal",real
"National team wins qualifying match and advances to the tournament",real
"Health ministry launches seasonal flu vaccination campaign",real
"Local hospital opens new emergency department after renovation",real
"Parliament passes law on data protection after long debate",real
"Stock market closes slightly higher as tech shares recover",real
"Weather service warns of heavy rain in the northern region this weekend",real
"Company reports quarterly earnings in line with analyst expectations",real
"Scientists launch satellite to monitor ocean temperatures",real
"SHOCKING: doctors don't want you to know this one weird trick that cures everything",fake
"Celebrity secretly replaced by clone, insiders reveal the truth",fake
"You won't believe what this miracle fruit does to belly fat overnight",fake
"BREAKING: aliens land in capital city and government hides the evidence",fake
"Drinking bleach cures all viruses, secret report claims",fake
"Moon landing was filmed in a studio, leaked documents prove it",fake
"Share this before it gets deleted: banks will steal your money tomorrow",fake
"5G towers are spreading disease, anonymous expert says",fake
"Famous actor dies again for the third time this year, fans shocked",fake
"Secret society controls the weather with hidden machines",fake
"Miracle pill makes you lose 20 kilos in one week without diet",fake
"URGENT: new law will ban all cars next month, media silent",fake
